conversation_id_str,created_at,favorite_count,is_garbage,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.91e+18,Fri Mar 28 08:14:42 +0000 2025,1,,Dari sekian banyak hal kenapa para NPC AI ini suka banget showcase artwork? Liat nih skrg gweh jg bisa NggaMbaR(prompting) loh️ Mana style yg dipake selalu latah kalo ga 3D Disney-look cartoon atau yg lgi rame skrg Ghibli.,1.91e+18,,,in,,0,2,0,https://x.com/undefined/status/1905533996781690991,246240152.0,
1.91e+18,Fri Mar 28 08:13:42 +0000 2025,0,,@tuminhosaurus Gue sedih liatnya mereka dengan gampang bikin studio ghibli style lewat AI :((,1.91e+18,,tuminhosaurus,in,,0,1,0,https://x.com/undefined/status/1905533746012471570,1.49e+18,
1.91e+18,Fri Mar 28 08:08:41 +0000 2025,0,,@TT3366TTonTw bikin AI gen pake style ghibli,1.91e+18,,TT3366TTonTw,in,,0,1,0,https://x.com/undefined/status/1905532480935100438,1.03e+18,
1.91e+18,Fri Mar 28 07:49:43 +0000 2025,1,,itu yg ghibli art style pake AI nanaonan sih anjg,1.91e+18,,,in,,0,0,0,https://x.com/undefined/status/1905527710840992093,1.67e+18,
1.91e+18,Fri Mar 28 07:39:02 +0000 2025,0,,Ide LOTR Style Ghibli lahir dari imajinasi buat mix 2 hal keren tsb masalahnya terbatas biaya produksi hak cipta dst. nah AI Art ini buka celah lebar: murah cepat sulit kena copyright (efek gerakan masif internet piracy culture). kalo masif gini bisakah nuntut 1 nama orang?. https://t.co/yKlgqtNNwL,1.91e+18,https://pbs.twimg.com/media/GnHG7bpaQAArvnw.jpg,,in,,0,0,0,https://x.com/undefined/status/1905525020455305382,1.66e+18,
1.91e+18,Fri Mar 28 07:36:46 +0000 2025,0,,Cara buat ai art style ghibli studio gimana? dari kemaren lewat mulu anjir pengen nyoba bikin juga gw fomohh wkwkw,1.91e+18,,,in,,0,0,0,https://x.com/undefined/status/1905524451837427744,1.71e+18,
1.91e+18,Fri Mar 28 07:36:14 +0000 2025,0,,@gadingnstn ehh siapa yang bilang kah? cz masalah disini ya orang2 glorified gambarnya pake style Ghibli yg jelas2 si Hayao Miyazaki gasuka sama AI sama orang2 ngaku2 karya dia padahal buatan AI belum nemu yg bilang penyepong gibran,1.91e+18,,gadingnstn,in,,0,0,0,https://x.com/undefined/status/1905524317489955064,1.64e+18,
1.91e+18,Fri Mar 28 07:04:04 +0000 2025,2,,@akubukanako Gaada yang bilang ini soal tren yg sekarang. Tapi omongan beliau 9 tahun lalu yang semakin relevan sampai di titik dimana style Ghibli di AI in kemarin makanya gua up lagi. Coba lu pikir (kalau masi bisa) kalau liat animasi 3D AI aja beliau marah apalagi karya dia yg digituin? https://t.co/S3fjlmSJGI,1.91e+18,https://pbs.twimg.com/media/GnHA39UbIAApfRn.jpg,akubukanako,in,,0,0,1,https://x.com/undefined/status/1905516221488914457,160177188.0,
1.91e+18,Fri Mar 28 06:50:42 +0000 2025,0,,Sejak ChatGPT bs generate gambar dg Ghibli-style udah keluar surat palsu yg mengatasnamakan Studio Ghibli dan komentar Hayao Miyazaki yg konteksnya tdk pas dg AI skrg. Hayao Miyazaki: Pdhl aku diem lho *menarik menunggu tanggapan resmi dr Studio Ghibli/Hayao Miyazaki soal ini,1.91e+18,,,in,,0,0,0,https://x.com/undefined/status/1905512858982760652,1.33e+18,
1.91e+18,Fri Mar 28 06:49:06 +0000 2025,0,,AI nyuri style ghibli ini kasusnya sama keq dulu AI nyuri style disney. nanti lambat laun org malah jadi nganggepnya style AI keq style disney dulu padahal itu style yg di colong AI ! nanti kebanyakan org make org2 jadi anggap style ghibli itu style AI direspect banget!!!,1.91e+18,,,in,,0,0,0,https://x.com/undefined/status/1905512455184196017,1.1e+18,
